unnamed:_0,cy_2014_value,cy_2014_tonnes,cy_2015_value,cy_2015_tonnes,cy_2016_value,cy_2016_tonnes,cy_2017_value,cy_2017_tonnes,cy_2018_value,cy_2018_tonnes,cy_2019_value,cy_2019_tonnes,cy_2020_value,cy_2020_tonnes,cy_2021_value,cy_2021_tonnes,cy_2022_value,cy_2022_tonnes,cy_2023_value,cy_2023_tonnes,cy_2024_value,cy_2024_tonnes,cy_2025_value,cy_2025_tonnes
Animal Feed,275833946,592343868.0,357959685.0,801959425.0,321174450.0,727520311.0,360734374.0,780711982.0,385330749.0,808843409.0,426793208.0,920134102.0,458237352.0,945213536.0,547833949.0,1094766505.0,698522188.0,1076282535.0,684084319.0,1046904.0,691350169.0,1196862.0,722738442.0,1251168.0
Animal Skins & Furs,165899703,84111347.0,152599108.0,83415151.0,129962794.0,85624985.0,138296733.0,92297087.0,107690433.0,91608843.0,74115644.0,75873739.0,58636138.0,79266170.0,74012631.0,73150174.0,82714912.0,84799401.0,73723445.0,78009.0,71948132.0,82014.0,62383712.0,82269.0
Beef,2131278919,509900120.0,2209079387.0,486102085.0,2267543517.0,532611775.0,2402515789.0,547153484.0,2434585755.0,534541876.0,2348871628.0,528378576.0,2334845719.0,524709670.0,2433113988.0,455581188.0,3054137271.0,492121993.0,2980188639.0,484444.0,3100166933.0,489002.0,3639886985.0,458996.0
Beverages,1081305684,738482119.0,1245962633.0,788100530.0,1304502816.0,839219700.0,1363532833.0,825554930.0,1443812983.0,871005117.0,1715261857.0,966941507.0,1458032691.0,870026436.0,1762277569.0,872833241.0,2060086203.0,976531179.0,1955161327.0,1017347.0,2199296606.0,1110843.0,2242733798.0,1162653.0
Cereal & cereal preparation,322801212,211130677.0,350958309.0,230138699.0,354637449.0,244023749.0,386687632.0,266697643.0,408023288.0,281439578.0,489674618.0,259596783.0,486499556.0,274912365.0,506380282.0,271559818.0,622398203.0,281156150.0,695401498.0,303446.0,732198930.0,292784.0,709716572.0,278761.0
"Coffee, Tea, Cocoa & Spices",354280774,53778251.0,372411991.0,63297124.0,374151238.0,62175798.0,374029638.0,64464266.0,385220840.0,66371733.0,411072695.0,69126897.0,420795074.0,78207785.0,440369970.0,76766130.0,487742739.0,76910939.0,523825403.0,71222.0,544270116.0,72503.0,623005882.0,63570.0
Crude Animal & Vegetable Material,109179725,93446884.0,127353454.0,85208844.0,124324194.0,88938521.0,139384011.0,102497631.0,130597212.0,122337077.0,117075336.0,157242860.0,116563466.0,192167467.0,136517419.0,210335968.0,155494534.0,201507446.0,171306993.0,177624.0,179879599.0,187809.0,185402071.0,189570.0
Dairy Produce,3874034126,1114649483.0,3944756196.0,1191375177.0,4044990083.0,1223420276.0,4740711195.0,1374574653.0,4650418450.0,1440030506.0,5164242160.0,1735917905.0,5184179147.0,1723485975.0,5194633566.0,1645082203.0,6865174605.0,1586499776.0,6358377423.0,1666124.0,6476113245.0,1629680.0,7232396029.0,1957463.0
Egg,16395700,6098519.0,16468359.0,5974769.0,14065692.0,6585063.0,24353204.0,8031631.0,23582084.0,9149063.0,20335886.0,9607535.0,21456536.0,9275263.0,37435447.0,10420873.0,46307520.0,10715780.0,46761196.0,11835.0,40934264.0,10864.0,42840647.0,10291.0
Fish,531577630,259511469.0,567845942.0,252027830.0,554912615.0,201443170.0,617531886.0,241425382.0,576514622.0,226313590.0,576811365.0,202387760.0,532834520.0,201447153.0,609232662.0,238277917.0,644169526.0,201756062.0,549418802.0,145581.0,598961683.0,152481.0,672619762.0,191047.0
Forestry & Wood products,394080580,1169882096.0,394517392.0,1128135028.0,415891412.0,1248770160.0,434263754.0,1387384915.0,477410626.0,1415155087.0,466228946.0,1527423912.0,446595840.0,1390215165.0,690645317.0,1490013130.0,783029364.0,1548504740.0,645186882.0,1451996.0,647529186.0,1529458.0,689430707.0,1690447.0
Fruit & Vegetables,170674527,91268255.0,176936388.0,76439234.0,163609090.0,75705650.0,162900481.0,74819480.0,145708501.0,69097707.0,159179647.0,85048473.0,176659057.0,89713101.0,220669081.0,96519633.0,179286930.0,93719380.0,166567836.0,86149.0,254218951.0,111680.0,257859702.0,118120.0
Fruit & Vegetables Based Products,92385352,68600737.0,111853374.0,75548442.0,116053604.0,87769945.0,137712140.0,97259926.0,176896030.0,117821473.0,157692565.0,103262945.0,151017209.0,106128431.0,181900764.0,110216566.0,199947436.0,111338825.0,195800765.0,107391.0,207384278.0,130174.0,232512605.0,139972.0
Live Animals,405101480,95617455.0,430507794.0,78885410.0,339977329.0,64823186.0,440284362.0,72852962.0,431525615.0,80826212.0,454092757.0,85380552.0,418660946.0,89031953.0,545363871.0,93020397.0,604981476.0,99212593.0,746742279.0,102751.0,795687748.0,131071.0,881193283.0,134374.0
Miscellaneous Edible Products & Preparations,268338446,102086521.0,275190254.0,96954336.0,367181943.0,91530029.0,492174609.0,93660497.0,264574146.0,97948539.0,321193423.0,111119212.0,338642317.0,108042625.0,393881065.0,135440549.0,424474110.0,116124502.0,449937203.0,107819.0,562682780.0,125756.0,647809605.0,133821.0
"Oils, Fats & Oleaginous Fruits",64947738,96606284.0,63887436.0,106309514.0,83637562.0,130295410.0,94588087.0,125001218.0,68745559.0,113310241.0,71732614.0,113939790.0,85409415.0,114809452.0,114715966.0,115310957.0,155305464.0,119135056.0,139965470.0,129324.0,142622582.0,140052.0,143645956.0,131547.0
Other Meat & Meat Produce,53932252,70183409.0,56160495.0,71220865.0,58327940.0,76838782.0,59627207.0,81234726.0,54542823.0,71382148.0,20510624.0,35335154.0,24547345.0,40142077.0,30424148.0,5567557.0,26004992.0,4374947.0,22014975.0,5256.0,17696623.0,4748.0,15839421.0,4072.0
Pigmeat,604448528,206901243.0,669770563.0,242173726.0,733933371.0,265353457.0,793698482.0,277324264.0,828075422.0,283880142.0,891520722.0,274532579.0,893260927.0,276450055.0,936393001.0,290946557.0,956349613.0,285255605.0,871816655.0,239158.0,892353745.0,249759.0,868969375.0,251699.0
Poultry,333544063,117328768.0,323217566.0,124726422.0,259630575.0,119603344.0,278291351.0,136846360.0,306220492.0,135745006.0,291038413.0,143103442.0,254909365.0,133339463.0,240555329.0,95516326.0,315107117.0,100737219.0,285669974.0,88089.0,298869699.0,86056.0,347233665.0,90832.0
Sheepmeat,208268095,44461622.0,241892626.0,48017463.0,277105623.0,55844804.0,310053686.0,62434029.0,316004473.0,59760750.0,317839964.0,61959516.0,355680404.0,64096493.0,386494518.0,58264311.0,454573219.0,66501839.0,413867435.0,64773.0,394512888.0,53217.0,396026170.0,49978.0
"Sugar, Sugar Preparation & Honey",103052411,34388364.0,158681219.0,37071668.0,209199642.0,35035217.0,154454505.0,61798540.0,143777499.0,119277067.0,150772999.0,85405932.0,120715468.0,41127277.0,123152673.0,33798910.0,131228561.0,30740906.0,153392788.0,33929.0,184072614.0,40375.0,196171174.0,48097.0
"Wool, Flax & Cotton",12710718,6718107.0,16277689.0,8274078.0,12329607.0,7603537.0,7538185.0,5476108.0,9408797.0,6825376.0,7160539.0,5683959.0,4789209.0,3604578.0,7356870.0,4261045.0,6638178.0,4640658.0,7349892.0,5650.0,8670427.0,8495.0,11395045.0,15136.0
Grand Total,11574071609,5767495599.0,12264287859.0,6081355820.0,12527142544.0,6270736869.0,13913364141.0,6779501715.0,13768666396.0,7022670539.0,14653217609.0,7557403130.0,14342967700.0,7355412489.0,15613360086.0,7477649954.0,18953674161.0,7568567533.0,18136561197.0,7424821.0,19041421196.0,7835681.0,20821810609.0,8453883.0
,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,
